FID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
1,304750,UNKNOWN304750,HEREFORD,TX,79045,SUBSTATION,NOT AVAILABLE,DEAF SMITH,34.770801,-102.540842,2,69,-999999,Y,N
3647,309236,16TH STREET,FORT STOCKTON,TX,79735,SUBSTATION,IN SERVICE,PECOS,30.900439,-102.873382,3,138,69,N,N
3,304756,UNKNOWN304756,DARROUZETT,TX,79034,NOT AVAILABLE,NOT AVAILABLE,LIPSCOMB,36.443702,-100.329066,3,-999999,-999999,N,N
3049,303943,36TH STREET,SAN ANTONIO,TX,78226,SUBSTATION,IN SERVICE,BEXAR,29.398272,-98.568967,2,138,138,N,Y
5,304758,UNKNOWN304758,AMARILLO,TX,79119,SUBSTATION,NOT AVAILABLE,RANDALL,35.117847,-102.028752,1,115,69,Y,Y
6,304761,UNKNOWN304761,BORGER,TX,79007,NOT AVAILABLE,NOT AVAILABLE,HUTCHINSON,35.714809,-101.36983,3,-999999,-999999,N,N
5142,303166,6TH STREET,BROWNSVILLE,TX,78520,SUBSTATION,IN SERVICE,CAMERON,25.909787,-97.497727,2,138,138,N,Y
8,304766,UNKNOWN304766,ABILENE,TX,79605,SUBSTATION,NOT AVAILABLE,TAYLOR,32.433682,-99.78529,1,69,-999999,Y,N
9,304769,UNKNOWN304769,PLAINVIEW,TX,79072,SUBSTATION,NOT AVAILABLE,HALE,34.183524,-101.661594,2,69,-999999,Y,N
4628,307771,A EAST TERM,IRVING,TX,75063,SUBSTATION,IN SERVICE,DALLAS,32.926544,-97.020248,2,138,69,N,N
3998,310145,A WEST TERM,GRAPEVINE,TX,75261,SUBSTATION,IN SERVICE,TARRANT,32.926728,-97.060274,2,138,69,N,N
492,306506,ABBOTT,ABBOTT,TX,76621,SUBSTATION,IN SERVICE,HILL,31.884995,-97.077706,2,138,69,Y,Y
2380,301578,ABILENE EAST,ABILENE,TX,79601,SUBSTATION,IN SERVICE,TAYLOR,32.452795,-99.699789,3,138,69,N,N
3843,309751,ABILENE ELMCREEK,ABILENE,TX,79606,SUBSTATION,IN SERVICE,TAYLOR,32.417444,-99.787177,3,138,69,N,N
1727,305703,ABILENE INDUSTRIAL PARK,ABILENE,TX,79603,SUBSTATION,IN SERVICE,TAYLOR,32.465658,-99.817128,3,138,69,N,N
16,304886,UNKNOWN304886,MULESHOE,TX,79347,SUBSTATION,NOT AVAILABLE,BAILEY,34.215923,-102.908255,0,69,-999999,Y,N
2538,306138,ABILENE MAPLE STREET,ABILENE,TX,79602,SUBSTATION,IN SERVICE,TAYLOR,32.40422,-99.725789,2,138,69,N,N
18,304789,UNKNOWN304789,SIMMS,TX,75574,SUBSTATION,IN SERVICE,BOWIE,33.36883,-94.475805,2,69,-999999,Y,N
2329,301401,ABILENE MULBERRY CREEK,IMPACT,TX,79601,SUBSTATION,IN SERVICE,JONES,32.524057,-99.822557,7,345,69,N,N
57,304906,ABILENE SOUTH,ABILENE,TX,79606,SUBSTATION,IN SERVICE,TAYLOR,32.359385,-99.751278,7,138,69,N,N
3910,309922,ABRAMS RD,DALLAS,TX,75214,SUBSTATION,IN SERVICE,DALLAS,32.844268,-96.751838,4,138,69,N,N
1538,300547,ADDICKS,HOUSTON,TX,77043,SUBSTATION,IN SERVICE,HARRIS,29.822577,-95.572995,8,345,69,N,N
4584,307674,ADDISON,ADDISON,TX,75001,SUBSTATION,IN SERVICE,DALLAS,32.956099,-96.848274,5,138,13.8,N,N
24,304804,UNKNOWN304804,NEW DEAL,TX,79311,SUBSTATION,IN SERVICE,LUBBOCK,33.781033,-101.862318,1,115,69,N,N
25,304806,AE,PALISADES,TX,79118,SUBSTATION,IN SERVICE,RANDALL,35.105527,-101.813474,1,115,69,Y,Y
1903,300128,AIRLINE,HOUSTON,TX,77022,SUBSTATION,IN SERVICE,HARRIS,29.818541,-95.389313,2,138,69,N,N
